"ID";"Escenario";"Tipo_De_Relato";"Donante";"Cartelera Filacterias";"ID Imagen";"Autor";"Título";"Fecha";"Expr1009";"Tipo";"Procedencia";"Fuente de la Imagen";"Expr1013";"Lugar";"Anotaciones";"Atributos Iconograficos";"Sintesis";"Comentarios bibliográficos";"Categorías";"sub1";"sub2";"sub3";"sub4";"Fuente"
23379;;;;;19004,00;"Anónimo";"Santo Tomás de Aquino";"XVIII";;16;"Convento de Santa Inés";;;"Colombia, Bogotá";;;"Dentro de un ovalo con inscripciones:""ECCLES. 24. VIDETE QUOD NON SOLI MIHI LABORAVI"". Esta el santo cantor de la Eucaristía con una custodia en su mano izquierda apoyada a su vez en una mesa de mantel azul. En la mano derecha muestra una pluma, signo de su magna obra de escritos filosóficos y teológicos. Viste el hábito dominicano con el rosario encima del escapulario y capucha blanca. Por encima de la capucha negra tiene una cadena con un sol mediano al pecho, todo dorado. Tiene la cabeza un poco inclinada a su derecha pero mira de frente con los ojos abiertos y la boca cerrada y pequeña. Muy marcado el cerquillo de su pelo negro quedando totalmente descubierta la oreja izquierda. El santo esta de pie y se observa sólo medio cuerpo.";;"Santos";"Santos";"Santos";"Tomás de Aquino";;432
23346;;;;;13471,00;"Anónimo";"Anunciación";"s.f.";;;"Capilla del Corazón de María";;;"México, Puebla";;;;;"Virgen";"Vida Virgen";"Anunciación";;;427
23347;;;;;13472,00;"Anónimo";"Santa Coleta";"s.f.";;;"Templo de San Francisco de Asís";;;"México, Chiapas";;;;;"Santos";"Santas";"Santas";;;426
23348;;;;;13473,00;"Anónimo";"Santa Rosa de Viterbo";"s.f.";;;"Templo de San Francisco de Asís";;;"México, Chiapas";;;;;"Santos";"Santas";"Santas";"Rosa de Viterbo";;426
23349;;;;;13474,00;"Anónimo";"Santa Margarita de Cortona";"s.f.";;;"Templo de San Francisco de Asís";;;"México, Chiapas";;;;;"Santos";"Santas";"Santas";"Margarita";;426
23350;;;;;13475,00;"Anónimo";"	Santa Clara de Asís";"s.f.";;;"Templo de San Francisco de Asís";;;"México, Chiapas";;;;;"Santos";"Santas";"Fundadoras";"Clara";;426
23351;;;;;13476,00;"Anónimo";"	San Eleazario";"s.f.";;;"Templo de San Francisco de Asís";;;"México, Chiapas";;;;;"Santos";"Santos";"Santos";"Eleazario";;426
23352;;;;;13477,00;"Anónimo";"	San Luis Rey";"s.f.";;;"Templo de San Francisco de Asís";;;"México, Chiapas";;;;;"Santos";"Santos";"Santos";"Luis Gonzága";;426
23353;;;;;13478,00;"Anónimo";"Santa Eduviges";"s.f.";;;"Templo del Exconvento de San Francisco";;;"México, Puebla";;;;;"Santos";"Santas";"Santas";"Eduviges";;427
23354;;;;;13479,00;"Miguel Cabrera";"Virgen del Refugio";"XVIII";;16;"Museo Soumaya";;;"México, México DF";;;;;"Virgen";"Advocaciones";"Refugio";;;429
23355;;;;;13480,00;"Anónimo";"Asunción de la Virgen";"XVII";;30;"Museo Soumaya";;"Lagarto.";"México, México DF";"Lagarto.";;;;"Virgen";"Vida Virgen";"Asunción";;;429
23356;;;;;13481,00;"Cristóbal de Villalpando";"Los cinco señores";"1714";;16;"Museo Soumaya";;;"México, México DF";;;;;;;;;;429
23357;;;;;13482,00;"Anónimo";"Santa Ana";"s.f.";;;"Museo Casa de Montejo";;;"México, Mérida";;;;;"Virgen";"Vida Virgen";"Sagrada familia Virgen";;;427
23358;;;;;13483,00;"Miguel Cabrera";"Inmaculada Concepción";"XVIII";;;"Parroquia Santa Prisca y San Sebastián";;;"México, Taxco";;;;;"Virgen";"Advocaciones";"Inmaculada";;;427
23359;;;;;13484,00;"Anónimo";"Virgen de la Rosa";"1693";;16;;;;"Perú";;;;;;;;;;256
23360;;;;;13485,00;"Anónimo";"	Dolorosa con ángeles pasionarios";"s.f.";;;"Templo y Ex convento de San Nicolás de Bari";;;"México, Edo de México";;;;;"Virgen";"Advocaciones";"Dolorosa";;;427
23361;;;;;13486,00;"Anónimo";"Asunción";"s.f.";;;"Exconvento Franciscano y Parroquia de San Luis Obispo de Tolosa";;;"México, Tlalmanalco";;;;;"Virgen";"Vida Virgen";"Asunción";;;427
23362;;;;;13487,00;"Anónimo";"Los Dones del Espíritu Santo: esperanza";"s.f.";;;"Catedral de San Ildefonso";;;"México, Mérida";;;;;"Alegorías";"Mística devociones";;;;427
23363;;;;;13488,00;"Anónimo";"Los Dones del Espíritu Santo: caridad";"s.f.";;;"Catedral de San Ildefonso";;;"México, Mérida";;;;;"Alegorías";"Mística devociones";;;;427
23364;;;;;13489,00;"Anónimo";"	Dormición";"s.f.";;;"Ex Convento y Parroquia de San Bernardino de Siena";;;"México, México DF";;;;;"Virgen";"Vida Virgen";"Tránsito Virgen Dormición";;;427
23365;;;;;13490,00;"Anónimo";"Muerte de Santo Domingo";"s.f.";;;"Templo de San Jerónimo";;;"México";;;;;"Santos";"Santos";"Fundadores";"Domingo";;427
23366;;;;;13491,00;"Anónimo";"San Raimundo de Peñanfort";"s.f.";;;"Templo de San Jerónimo Tlacochahuaya";;;"México, Oaxaca";;;;;"Santos";"Santos";"Santos";"Otros santos";;427
23367;;;;;13492,00;"Anónimo";"San Juan Bautista Niño";"s.f.";;;"Templo de Nuestra Señora de las Nieves";;;"México, Oaxaca";;;;;"Santos";"Mártires";"Mártires hombres";"Juan Bautista";;427
23368;;;;;13493,00;"Anónimo";"San Juan";"s.f.";;;"Templo de Nuestra Señora de las Nieves";;;"México, Oaxaca";;;;;"Santos";"Santos";"Apóstoles";"Juan";;427
23369;;;;;13494,00;"Anónimo";"Arcángeles";"s.f.";;;"Templo del Exconvento de Santo Domingo";;;"México, Oaxaca";;;;;"Ángeles";"Arcángeles";;;;427
23370;;;;;13495,00;"Anónimo";"Arcángeles";"s.f.";;;"Templo del Exconvento de Santo Domingo";;;"México, Oaxaca";;;;;"Ángeles";"Arcángeles";;;;427
23371;;;;;13496,00;"Anónimo";"Alegoría de la Misa";"s.f.";;;"Parroquia de San Pedro Apóstol";;;"México, Querétaro";;;;;"Alegorías";"Alegorías";;;;426
23372;;;;;13497,00;"Anónimo";"San Pedro regalado";"s.f.";;;"Templo de San Francisco de Asís";;;"México, Chiapas";;;;;"Santos";"Santos";"Apóstoles";"Pedro";;426
23373;;;;;13498,00;"Anónimo";"San Bernardino de Siena";"s.f.";;;"Templo de San Francisco de Asís";;;"México, Chiapas";;;;;"Santos";"Santos";"Santos";"Otros santos";;426
23374;;;;;13499,00;"Miguel Jerónimo Zendejas";"San José y escenas con su vida";"XVIII";;;"Templo de los Santos Reyes";;;"México, Puebla";;;;;"Virgen";"Vida Virgen";"Sagrada Familia";"José";"Otras San José";427
23376;;;;;10679,00;"Anónimo";"La adoración del Corazón de Jesús por San Ignacio de Loyola y San Francisco Javier";"XVIII";;14;"Colección Cisneros";;"Maestro de Quibor";"Venezuela, Caracas";"Maestro de Quibor";;;;;;;;;341
