author;activity;bio
A Nava;;S.D.
A. Ellis;;S.D.
A. Haddock;;La firma encontrada en la pintura Red Jacket en la Galería Nacional parece decir A. Haddock. Del mismo modo, un pintor de escenografía con su nombre trabajó en en el Teatro Bowery en Nueva York desde 1827 hasta 1830, por lo cual se piensa que podría referirse al mismo. 
A. Pino ;;S.D.
A.M. Randall;;S.D.
Aaron Haugthon Corwine;;Nació en Mason County Kentucky el 31 de agosto de 1802 y murió en 1830. Desde muy joven mostró un interés por el arte: estudió con el artista J.T. Turner y posteriormente con Thomas Sully. Sus retratos se caracterizan estar construidos bajo el estilo romántico de la época.
Abraham Mignon;"1650 -  1679

";Nació en Frankfurt en 1640. Es reconocido por sus pinturas de bodegones y naturaleza muerta, que, aprendió a ejecutar desde los nueve años al ser el púpilo del artista Jacob Marrell. En 1664 se mudó a los países bajos y trabajó como el asistente de Jan Davidsz de Heem hasta 1672. Las obras de flores y frutas de Mignon guardan el mismo estilo opulento que las de Mignon, por lo que eran muy populares en las cortes.
Abraham Tuthill;;1776 - 1843. Nació en Long Island. Su interés por el arte se dio desde que estaba muy joven, por lo cual pasó ocho años en el exterior, siete en Inglaterra y uno en Francia. Cuando volvió a Nueva Yorj, alrededor del 1808, empezó a trabajar como retratista. Es considerado uno de los pintores de retratos más interesantes de la época, pues viajaaba por América en búsqueda de comisiiones durante el inicio del siglo XIX.
Adam Buck;;1759 - 1833. Pintor neoclásico irlandés especializado en retratos y miniaturas. En 1795 se mudó a Londres y trabajó allí  como profesor de arte al igual que como artista. Así alcanzó a exhibir aproximadamente 170 miniaturas y retratos de pequeño formato en la Academia Real [Royal Academy] entre 1795 y 1833. Es importante recalcar que fue una influencia importante para la cultura durante el Período de Regencia, pues produjo pinturas de las vestimentas contemporáneas al igual que retratos de familias y escenas clásicas de la literatura.  
Adolf Ulric Wertmüller;;1749-1811. Pintor sueco que trabajó en la Academia Real de París y como pintor de cámara del rey de Suecia en 1787. Posteriormente se estableció en Cádiz. En 1797 viajó a América y después de un tiempo regresó a España. Sus obras se pueden encontrar en el Museo de Cádiz al igual que en el Museo del Prado.
Agostino Brunias;;1730 - 1796. Pintor italiano que trabajó la mayor parte de su vida en Roma. Se le asocia con el arte de las Indias porque durante un tiempo dejó Inglaterra y se radicó en Dominica. Su formación como artista comenzó en la Academia di San Luca en Roma, se fortaleció en el Grand Tour que realizó por Europa y fue cambiando durante su vida producto de sus viajes. Entre sus pinturas es común encontrar retratos de castas, sobretodo de mulatos. La importancia de su obra reside en que da cuenta de la cultura y la vida en Dominica durante el periodo colonial.
Aguilar;;S.D.
Agustín Del Pino;1720;"De este artista se ha documentado su actividad hacia 1720 y se le atribuyen al menos cinco obras reconocidas. FUENTE: SONIA I. OCAñA RUIZ. 2008. ""Marcos enconchados"". ANALES DEL INSTITUTO DE INVESTIGACIONES ESTÉTICAS, NÚM. 92. Pp. 148. Disponible en : http://www.analesiie.unam.México/pdf/92_107-153.pdf"
Agustín Sojo;;Siglo XV. Artista, que, en compañía de Antonio de Umbela y Juan Cáceres, pintaron y doraron el retablo principal de la iglesia de Santo Domingo en Lima. También realizó la pintura mural en la techumbre de la bóveda, los arcos y los pilares de la capilla de San Eloy al igual que los adornos en los huecos y hornacinas.
Albert Eckout ;;1610 - 1655. Pintor alemán, especializado en retratos y bodegones. Nacido en Groningen, fue uno de los primeros artistas europeos en pintar escenas del Nuevo Mundo. En 1636 viajó a la parte holandesa de Brasil y se quedó allá hasta 1644, como un invitado del conde John Maurice. Es por esto que en su obra es posible encontrar retratos de nativos, esclavos y mulatos de Brasil, al igual que numerosos bocetos de la fauna y flora exótica. La mayoría de su trabajo se exhibe actualmente en el Museo Nacional de Dinamarca en Copenhagen.
