base;nombre;apellido
Jerónimo Acero;Jerónimo;Acero
Antonio Acero de la Cruz;Antonio;Acero de la Cruz
José María Agudelo;José María;Agudelo
Cristóbal de Aguilar;Cristóbal de;Aguilar
Aguilar;;Aguilar
Juan Francisco de Aguilera;Juan Francisco de;Aguilera
Diego Aguilera;Diego;Aguilera
Juan Aguilera;Juan;Aguilera
Pedro de Aguirre;Pedro de;Aguirre
Francisco Albán;Francisco;Albán
Vicente Albán;Vicente;Albán
José de Albistur;José de;Albistur
José de Alcíbar;José de;Alcíbar
Francis Alexander;Francis;Alexander
Cosmo Alexander;Cosmo;Alexander
José Germán de Alfaro;José Germán de;Alfaro
José de Alfaro;José de;Alfaro
Alfaro;;Alfaro
Diego de Aliaga;Diego de;Aliaga
Allport;;Allport
Washington Allston;Washington;Allston
Silvestre de Almeida Lopes;Silvestre de;Almeida Lopes
José Lorenzo de Alvarado;José Lorenzo de;Alvarado
Fernando Álvarez Carneiro;Fernando;Álvarez Carneiro
Alfonso Álvarez de Urrutia;Alfonso;Álvarez de Urrutia
Francisco Pedro do Amaral;Francisco Pedro do;Amaral
Ezra Ames;Ezra;Ames
Pieter Andersen;Pieter;Andersen
Gaspar de Angulo;Gaspar de;Angulo
Anónimo;;Anónimo
José Antolínez;José;Antolínez
José Aragón;José;Aragón
Alonso de Arandia;Alonso de;Arandia
José María Arango;José María;Arango
José de Arce;José de;Arce
Alonso del Arco;Alonso del;Arco
Juan de Arellano;Juan de;Arellano
Manuel de Arellano;Manuel de;Arellano
Miguel Arellano;Miguel;Arellano
Josephus Arias Huerta;Josephus;Arias Huerta
Juan Antonio Arriaga;Juan Antonio;Arriaga
José Arriaga;José;Arriaga
Juan de Arrúe;Juan de;Arrúe
Matías de Arteaga;Matías de;Arteaga
Antonio Astudillo;Antonio;Astudillo
C. Astudillo;C.;Astudillo
Lewis Aubineau;Lewis;Aubineau
Miguel Aucell;Miguel;Aucell
John James Audubon;John James;Audubon
Ávila;;Ávila
José Avitavilli;José;Avitavilli
José Antonio de Ayala;José Antonio de;Ayala
Bernabé de Ayala;Bernabé de;Ayala
Ignacio de Ayala;Ignacio de;Ayala
Antonio Azuero;Antonio;Azuero
Pedro Azurdui;Pedro;Azurdui
Joseph Badger;Joseph;Badger
Thomas Badger;Thomas;Badger
Pedro Báez Cabral;Pedro;Báez Cabral
C. Bak;C.;Bak
Balderrama;;Balderrama
Lázaro Baldi;Lázaro;Baldi
João Baptista;João;Baptista
José María Barajas;José María;Barajas
Ignacio María Barreda;Ignacio María;Barreda
Laureano de Barreda;Laureano de;Barreda
Ignacio Barreda;Ignacio;Barreda
Francisco de Barrera;Francisco de;Barrera
José María de Bastida;José María de;Bastida
Pompeo Batoni;Pompeo;Batoni
Daniel Bautista;Daniel;Bautista
Juan y Nicolás Becerra;Juan y Nicolás;Becerra
Diego Becerra;Diego;Becerra
Pedro Bedón;Pedro;Bedón
Cornelius de Beet;Cornelius de;Beet
Francisco Bejarano;Francisco;Bejarano
Belchior Paulo;Paulo;Belchior
Zedekiah Belknap;Zedekiah;Belknap
Benavides;;Benavides
Henri Benbridge;Henri;Benbridge
Henry Benbridge;Henry;Benbridge
Antonio Anselmo Benítez;Antonio Anselmo;Benítez
William James Bennett;William James;Bennett
Ignacio Berbeno;Ignacio;Berbeno
Luis Berger S. J.;Luis;Berger
Bergmuller;;Bergmuller
José Joaquín Bermejo;José Joaquín;Bermejo
Antonio Bermejo;Antonio;Bermejo
Joaquín Bermejo;Joaquín;Bermejo
Bermúdez;;Bermúdez
Rafael Bermúdez;Rafael;Bermúdez
Gaspar Miguel de Berrío;Gaspar Miguel de;Berrío
Luis Berrueco;Luis;Berrueco
José Berruecos;José;Berruecos
Jacopo Bertuccio;Jacopo;Bertuccio
Francisco Bezerra;Francisco;Bezerra
George Bickham;George;Bickham
Edwin T. Billings;Edwin T.;Billings
Pedro Binera;Pedro;Binera
William Russell Birch;William Russell;Birch
Thomas Birch;Thomas;Birch
William Birch;William;Birch
Charles Bird King;Charles;Bird King
Bernardo Bitti;Bernardo;Bitti
Joseph Blackburn;Joseph;Blackburn
William Blake;William;Blake
John S. Blunt;John S.;Blunt
William Bonnell;William;Bonnell
Diego de Borgraf;Diego de;Borgraf
David Boudon;David;Boudon
Henry Brintnell Bounetheau;Henry Brintnell;Bounetheau
Henry Bounetheau;Henry;Bounetheau
Charlotte-Marguerite de Bourbon, Comtesse de Lowendahl;Charlotte-Marguerite de;Bourbon
Samuel Finley Breese Morse;Samuel Finley;Breese Morse
John Brewster, Jr.;John;Brewster
Charles Bridges;Charles;Bridges
