Categoría 2;Categoría 3
Advocaciones;Antigua
Advocaciones;Almudena
Advocaciones;Ángeles
Advocaciones;Apóstoles
Advocaciones;Aránzazu
Advocaciones;Belén
Advocaciones;Candelaria
Advocaciones;Caridad
Advocaciones;Carmen
Advocaciones;Cayma
Advocaciones;Cerro
Advocaciones;Chiquinquirá
Advocaciones;Cocharcas
Advocaciones;Copacabana
Advocaciones;Cueva
Advocaciones;Desamparados
Advocaciones;Dolorosa
Advocaciones;Expectación encarnación
Advocaciones;Flores
Advocaciones;Gozos
Advocaciones;Guadalupe
Advocaciones;Guapulo
Advocaciones;Guía
Advocaciones;Inmaculada
Advocaciones;Lactación
Advocaciones;Loreto
Advocaciones;Luz
Advocaciones;Merced
Advocaciones;Misericordia
Advocaciones;Monserrat
Advocaciones;Nieves
Advocaciones;Obediencia
Advocaciones;Ocotlán
Advocaciones;Otras devociones
Advocaciones;Otras devociones arborícolas
Advocaciones;Otras devociones triangulares
Advocaciones;Pastora
Advocaciones;Perdón
Advocaciones;Peregrina
Advocaciones;Piedad
Advocaciones;Pilar
Advocaciones;Pomata
Advocaciones;Porciúncula
Advocaciones;Protección
Advocaciones;Providencia
Advocaciones;Refugio
Advocaciones;Pueblo
Advocaciones;Remedios
Advocaciones;Rosa
Advocaciones;Rosario
Advocaciones;Rostros Virgen
Advocaciones;Rotonda
Advocaciones;Sabaya
Advocaciones;Soledad
Advocaciones;Sunturhuasi
Advocaciones;Salud
Advocaciones;Socorro
Advocaciones;Soterraña
Advocaciones;Toledo
Advocaciones;Trono o Silla
Advocaciones;Valvanera
Advocaciones;Virgen y niño
Ángeles;Ángeles
Ángeles;Ángeles Palermo
Ángeles;Ángeles Pasión
Arcángeles;Gabriel
Arcángeles;Miguel
Arcángeles;Rafael
Arcángeles Apócrifos;Asiel
Arcángeles Apócrifos;Baraquiel
Arcángeles Apócrifos;Eliel
Arcángeles Apócrifos;Hadriel
Arcángeles Apócrifos;Jeudiel
Arcángeles Apócrifos;Josiel
Arcángeles Apócrifos;Leteliel
Arcángeles Apócrifos;Otros Apócrifos
Arcángeles Apócrifos;Sealtiel
Arcángeles Apócrifos;Ariel
Arcángeles Apócrifos;Uriel
Arcángeles Apócrifos;Yeriel Salamiel
Arcángeles Apócrifos;Zadquiel
Clérigos;Cuerpo entero
Clérigos;Medio cuerpo
Clérigos;Postrados
Clérigos;Sentados
Clérigos;Ovalo
Eclesiástica;Árbol genealógico
Eclesiástica;Exvotos
Eclesiástica;Historia Eclesiástica
Eclesiástica;Historias Venerables
Eclesiástica;Iglesias retablos
Eclesiástica;Venerables y beatos
Eclesiástica;Milagros
Eclesiástica;Procesiones
Hombres;Indígenas
Hombres;Muertos
Hombres;Caballo y postrados
Hombres;Cuerpo entero
Hombres;Medio cuerpo
Hombres;Sentados
Hombres;Virreyes
Imágenes devocionales;Buen Pastor
Imágenes devocionales;Salvador
Imágenes devocionales;Otras devocionales
Miniaturas;Hombres
Miniaturas;Mujeres
Mística devociones;Monja Agreda
Monjas;Coronada viva
Monjas;Coronada Muerta
Monjas;Cuerpo entero
Monjas;Medio cuerpo
Mujeres;Indígenas
Mujeres;Cuerpo entero
Mujeres;Cuerpo medio
Pasión;Preliminares
Pasión;Muerte y Resurrección
Pasión;Devociones Pasión
Pasión;Series
Pasión;Viacrucis
Postrimerías;Escatología
Postrimerías;Infierno
Postrimerías;Purgatorio
Postrimerías;Juicio Final
Sacramentos credo;Alabado
Sacramentos credo;Bautismo
Sacramentos credo;Confesión
Sacramentos credo;Credo - Alabado
Sacramentos credo;Eucaristía
Sacramentos credo;Matrimonio
Sacramentos credo;Otros sacamentos
Santas;Mártires mujeres
Santas;Fundadoras
Santas;Iglesia Primitiva F
Santas;Santas
Santos;Mártires hombres
Santos;Fundadores
Santos;Iglesia Primitiva -h
Santos;Santos varios
Santos;Santos
Trinidad;Compatio Patris
Trinidad;Otros trinidad
Trinidad;Padre eterno
Trinidad;Trinidad tricefálica
Trinidad;Padre y crucificado
Trinidad;Tres personas
Vida pública;Bautismo Jesús
Vida pública;Milagros
Vida pública;Predicación
Vida Virgen;Concepción Virgen
Vida Virgen;Sagrada familia Virgen
Vida Virgen;Nacimiento Virgen
Vida Virgen;Presentación Virgen
Vida Virgen;Hilandera
Vida Virgen;Educación
Vida Virgen;Desposorios
Vida Virgen;Anunciación
Vida Virgen;Visitación
Vida Virgen;Nacimiento Jesús
Vida Virgen;Adoración Pastores
Vida Virgen;Adoración Reyes
Vida Virgen;Circuncisión
Vida Virgen;Presentación
Vida Virgen;Perdida
Vida Virgen;Niño Espina
Vida Virgen;Inocentes
Vida Virgen;Egipto
Vida Virgen;Sagrada Familia
Vida Virgen;Entre Doctores
Vida Virgen;Virgen al pie cruz
Vida Virgen;Tránsito Virgen Dormición
Vida Virgen;Asunción
Vida Virgen;Coronación Eucaristía
Vida Virgen;Otros (Vida Virgen)
