"ID";"nombredes";"Obra";"ID Imagen"
1;"Corderos, uvas";1889;1889
2;"?";1337;1337
2;"?";8089;8943
2;"?";8281;9135
2;"?";2957;2957
3;"Abrazo";4728;4728
3;"Abrazo";6051;6051
4;"Abrazo de José y Jesús";2471;2471
5;"Abrazo de María y Jesús";44;44
6;"Aclla Mama";8585;9439
7;"Adán";1155;1155
8;"Adan y Eva";3928;3928
9;"Adoración";2503;2503
10;"adoración a Jesús";4933;4933
11;"Adoración Reyes Magos";6041;6041
12;"Adoracion Santisimo";5669;5669
13;"Adoracion Santisimo/Villalpando";2306;2306
14;"Adoración santos";1913;1913
15;"Advocaciones de la Virgen";2370;2370
16;"África";8614;9468
16;"África";2672;2672
17;"Agua";5835;5835
18;"Águila";5925;5925
19;"ALA";213;213
20;"Alegoria";1894;1894
21;"Alegoría";2191;2191
22;"Alimento";4678;4678
23;"Alma";3707;3707
23;"Alma";5812;5812
23;"Alma";5831;5831
23;"Alma";2569;2569
23;"Alma";1128;1128
23;"Alma";2205;2205
23;"Alma";3768;3768
23;"Alma";437;437
24;"Almas";838;838
25;"Altar con flores";4469;4469
26;"Altar/Virgen María";912;3244
27;"Amamanta";1496;1496
28;"Amamanta/ Angeles";604;604
29;"Amamanta/Conquistadores";4829;4829
30;"Amamantar/corona redonda de colores de Maria";5987;5987
31;"América";2669;2669
31;"América";8613;9467
32;"Amistad";5927;5927
32;"Amistad";5928;5928
33;"Amor";5832;5832
33;"Amor";2206;2206
33;"Amor";5820;5820
33;"Amor";5831;5831
33;"Amor";5834;5834
33;"Amor";2207;2207
33;"Amor";5833;5833
33;"Amor";2205;2205
33;"Amor";2204;2204
33;"Amor";5821;5821
33;"Amor";5811;5811
34;"Anagramas";2718;2718
35;"Ancestros de Jesús";1151;1151
36;"Angel";8021;8875
36;"Angel";6064;6064
36;"Angel";1727;1727
37;"Ángel";5837;5837
37;"Ángel";5836;5836
37;"Ángel";5839;5839
37;"Ángel";5840;5840
37;"Ángel";5835;5835
37;"Ángel";5841;5841
37;"Ángel";5838;5838
37;"Ángel";5823;5823
37;"Ángel";5818;5818
37;"Ángel";5819;5819
37;"Ángel";5830;5830
37;"Ángel";5817;5817
37;"Ángel";5816;5816
37;"Ángel";5821;5821
37;"Ángel";5822;5822
37;"Ángel";5814;5814
37;"Ángel";5820;5820
37;"Ángel";5824;5824
37;"Ángel";5825;5825
37;"Ángel";5813;5813
37;"Ángel";5810;5810
37;"Ángel";5826;5826
37;"Ángel";5827;5827
37;"Ángel";5828;5828
37;"Ángel";5829;5829
37;"Ángel";5815;5815
38;"Angel de la guarda";1136;1136
38;"Angel de la guarda";1901;1901
38;"Angel de la guarda";731;731
38;"Angel de la guarda";136;136
38;"Angel de la guarda";7073;7927
38;"Angel de la guarda";3660;3660
38;"Angel de la guarda";8421;9275
38;"Angel de la guarda";2262;2262
38;"Angel de la guarda";8383;9237
38;"Angel de la guarda";4811;4811
38;"Angel de la guarda";480;480
39;"Angel virtuoso";2190;2190
40;"Angeles";5658;5658
40;"Angeles";1137;1137
40;"Angeles";2262;2262
40;"Angeles";5376;5376
40;"Angeles";5378;5378
40;"Angeles";2190;2190
40;"Angeles";7121;7975
40;"Angeles";1146;1146
40;"Angeles";5379;5379
40;"Angeles";5388;5388
40;"Angeles";817;817
40;"Angeles";2250;2250
40;"Angeles";4299;4299
40;"Angeles";3941;3941
40;"Angeles";479;479
40;"Angeles";480;480
40;"Angeles";3919;3919
40;"Angeles";5380;5380
40;"Angeles";4466;4466
40;"Angeles";3851;3851
40;"Angeles";4811;4811
40;"Angeles";1760;1760
40;"Angeles";838;838
40;"Angeles";835;835
40;"Angeles";2494;2494
40;"Angeles";4616;4616
40;"Angeles";4533;4533
40;"Angeles";801;801
40;"Angeles";1725;1725
40;"Angeles";7094;7948
40;"Angeles";5171;5171
40;"Angeles";4432;4432
40;"Angeles";732;732
40;"Angeles";731;731
40;"Angeles";1129;1129
40;"Angeles";7073;7927
40;"Angeles";452;452
40;"Angeles";5669;5669
40;"Angeles";1136;1136
40;"Angeles";4531;4531
40;"Angeles";8421;9275
40;"Angeles";1425;1425
40;"Angeles";3035;3035
40;"Angeles";1904;1904
40;"Angeles";8161;9015
40;"Angeles";85;85
40;"Angeles";136;136
40;"Angeles";82;82
40;"Angeles";8383;9237
40;"Angeles";1902;1902
40;"Angeles";8174;9028
40;"Angeles";80;80
40;"Angeles";3646;3646
40;"Angeles";1901;1901
40;"Angeles";76;76
40;"Angeles";1397;1397
40;"Angeles";3602;3602
40;"Angeles";3660;3660
40;"Angeles";1454;1454
40;"Angeles";3603;3603
40;"Angeles";8277;9131
40;"Angeles";1917;1917
40;"Angeles";1903;1903
40;"Angeles";1523;1523
40;"Angeles";1470;1470
41;"Ángeles";5369;5369
41;"Ángeles";837;837
41;"Ángeles";834;834
41;"Ángeles";1128;1128
41;"Ángeles";4667;4667
42;"ángeles cargando santa";4712;4712
43;"Angeles con atributos";4464;4464
44;"Angeles musicos";1557;1557
45;"Ángeles orando";4674;4674
46;"Ángeles sin cuerpo";1398;1398
48;"Angeles y espíritu santo";2395;2395
48;"Angeles y espíritu santo";826;826
48;"Angeles y espíritu santo";1399;1399
49;"Angeles/sombrero de plumas";8161;9015
50;"Angeli";838;838
51;"angelología profética";2307;2307
51;"angelología profética";3904;3904
52;"Animas";437;437
53;"Anunciación";1859;1859
53;"Anunciación";2268;2268
53;"Anunciación";4432;4432
54;"Anunciación (Huída a Egipto).";8549;9403
55;"Aparicion de la Virgen";1560;1560
56;"Apolo";5929;5929
57;"Apoteósis del rosario";2365;2365
58;"Árbol";5678;5678
58;"Árbol";2211;2211
58;"Árbol";5679;5679
59;"Árbol deshojado";4662;4662
60;"Arca de la Alianza";1179;1179
60;"Arca de la Alianza";996;996
61;"Arcángel";5814;5814
61;"Arcángel";1387;1387
62;"Arcangeles";3035;3035
62;"Arcangeles";4531;4531
62;"Arcangeles";5378;5378
62;"Arcangeles";5380;5380
62;"Arcangeles";819;819
63;"Arcángeles";833;833
64;"Archangeli";801;801
65;"Arco";1917;1917
66;"Arcos";4703;4703
67;"Arellano";3896;3896
68;"Armadura";85;85
69;"Armas/Virgen de Monserrat";1094;1094
70;"arrepentimiento";1997;1997
70;"arrepentimiento";3899;3899
71;"Arte plumario";4972;4972
71;"Arte plumario";4973;4973
72;"Arte plumario/Retrato";4970;4970
73;"Asia";2671;2671
73;"Asia";8612;9466
74;"Asunción jesuitas";4385;4385
75;"Atributos";5380;5380
76;"Aureolas y trajes con hojilla de oro";5413;5413
76;"Aureolas y trajes con hojilla de oro";2851;2851
76;"Aureolas y trajes con hojilla de oro";159;159
76;"Aureolas y trajes con hojilla de oro";2743;2743
76;"Aureolas y trajes con hojilla de oro";4785;4785
76;"Aureolas y trajes con hojilla de oro";2758;2758
76;"Aureolas y trajes con hojilla de oro";1680;1680
76;"Aureolas y trajes con hojilla de oro";325;325
76;"Aureolas y trajes con hojilla de oro";5158;5158
76;"Aureolas y trajes con hojilla de oro";4475;4475
76;"Aureolas y trajes con hojilla de oro";3299;3299
76;"Aureolas y trajes con hojilla de oro";1699;1699
76;"Aureolas y trajes con hojilla de oro";2737;2737
76;"Aureolas y trajes con hojilla de oro";4961;4961
76;"Aureolas y trajes con hojilla de oro";3121;3121
76;"Aureolas y trajes con hojilla de oro";5172;5172
76;"Aureolas y trajes con hojilla de oro";5000;5000
76;"Aureolas y trajes con hojilla de oro";2295;2295
76;"Aureolas y trajes con hojilla de oro";3790;3790
76;"Aureolas y trajes con hojilla de oro";3193;3193
76;"Aureolas y trajes con hojilla de oro";8226;9080
76;"Aureolas y trajes con hojilla de oro";5300;5300
76;"Aureolas y trajes con hojilla de oro";3298;3298
76;"Aureolas y trajes con hojilla de oro";4825;4825
76;"Aureolas y trajes con hojilla de oro";7125;7979
77;"Avaricia";5919;5919
77;"Avaricia";5916;5916
78;"Avaro";5918;5918
78;"Avaro";2913;2913
78;"Avaro";5926;5926
79;"Aves";4716;4716
79;"Aves";4723;4723
79;"Aves";3342;3342
79;"Aves";4727;4727
79;"Aves";8613;9467
79;"Aves";4722;4722
80;"Aves y flores";3791;3791
80;"Aves y flores";2746;2746
80;"Aves y flores";5143;5143
81;"Azucenas";479;479
81;"Azucenas";452;452
81;"Azucenas";1859;1859
82;"Azucenas y triángulo/trinidad";5530;5530
83;"BADO";214;214
84;"Balanza";5931;5931
84;"Balanza";801;801
85;"Barbosa-Stern";4500;4500
86;"Barca";3296;3296
87;"Barrabas";1267;1267
88;"Batalla Pamplona";4363;4363
89;"Batalla/conversion";2446;2446
90;"Batalla/heridas";2424;2424
91;"Bautismo";1213;1213
91;"Bautismo";4372;4372
91;"Bautismo";8550;9404
91;"Bautismo";2654;2654
92;"Bebe";1863;1863
92;"Bebe";2495;2495
92;"Bebe";1746;1746
93;"Belen";7089;7943
94;"Bendicion/Papa Ignacio";1940;1940
95;"Bendicion/Papa Paulo";3019;3019
96;"Bien";2208;2208
97;"bien/mal";3027;3027
98;"Bosque/Conversión/Caballo";2256;2256
99;"Buen pastor";8270;9124
99;"Buen pastor";608;608
99;"Buen pastor";2769;2769
100;"Caballo";8611;9465
