"Fuente de la Imagen";"ID"
;1
"?";2
"40 siglos artemex";3
"Angeles y arcan";4
"Angeles y arcangeles";5
"Ángeles y arcángeles";6
"Angeles y arcangeles Munal II";7
"Art & Architec";8
"Art & Architect";9
"Arte Colonial";10
"Arte de la Real A";11
"Arte ecuat Salvat";12
"Arte R Ad Quito";13
"ArtStore";14
"Barroco Andes";15
"Barroco fuentes";16
"Barroco Peruan 1";17
"Barroco Peruan 2";18
"Barroco Peruan1";19
"Barroco peruano";20
"Barroco Peruano 1";21
"Barroco Peruano 2";22
"Barroco Peruano I";23
"Bride of the sun";24
"Bride of the Sun Barroco Peruano";25
"Cat, Munal 1";26
"Cat, Munal II";27
"Cat. MNA Bol";28
"Cat. Munal 1";29
"Cat. Munal II";30
"Cat. Munal. 1";31
"Cat. Munal. I";32
"Cat. Munal. II";33
"Cat. Pintura Chile";34
"Cat. PinturaChile";35
"Cat. Revel A. L";36
"Cat. Revel A. L Ángeles y Arcangles";37
"Cat. Revel A.L";38
"Cat. Revel A.L.";39
"Cat. Revel A.L. Barroco Peruan 1";40
"Catalogo bancen";41
"Catálogo Munal";42
"Col arte vir peru";43
"Colección BBVA";44
"Conver cultures";45
"Cuenca Ecuador";46
"Esplendores 30 S";47
"Esplendores 30S";48
"Flickr";49
"Foto Directa";50
"Gracia Barroca";51
"Guía artíst. Quito";52
"Hechizo Oaxaca";53
"Hist Arte Ibero";54
"Hist. Pint Vzuela";55
"Hist. Pint. Venezuela";56
"Hist. Pint. Vzuela";57
"Iconografía México
Ángeles y Arcan";58
"Iconografia México.";59
"Imág. Naturales";60
"Imágenes expur";61
"Jesuitas";62
"José Juárez";63
"Los siglos de oro";64
"Lucia Qurejazu";65
"Maria Rosario?";66
"Mus Reg Quetaro";67
"Mus Reg Qutaro";68
"Museo América";69
"Museo Amparo";70
"Museo Regional Queretaro";71
"No datos";72
"Obras restaurad";73
"Oficina de registro de obras - México D. F.";74
"Painting World";75
"Pájaros  parlant";76
"Pájaros parlant";77
"Parábola Novo";78
"Patrimonio Art";79
"Patrimonio Art.";80
"Perú ind virreinal";81
"PESSCA";82
"Pint Colon Cossio";83
"Pint ColonCossio";84
"Pint escult barro NE";85
"Pintura escult NE";86
"Pintura Reinos 1";87
"Pintura Reinos 2";88
"Pintura Reinos 3";89
"Pintura Reinos 4";90
"Pintura Reinos I";91
"Pintura Reinos II";92
"Pinturas Reinos II";93
"Pntura de los Reinos III";94
"Pntura de los Reinos III y Una serie pintura";95
"Presencia Zurbar";96
"Prim Salón Arte";97
"Rosa Limensis";98
"S.d";99
"Serie de S Teresa";100
"Simbol Andina";101
"Tesoc Pinac Vir";102
"Tesor Pinac Virr";103
"Tesor Pinac Virr Cat. Revel A.L";104
"Tesoros artisticos";105
"Tesoros artísticos";106
"Tesoros del arte";107
"Tesoros Pinacoteca Virreinal";108
"The Virgin";109
"Una serie pintura";110
"Una serie pintura - Pintura reinos III";111
"Vascos Vizcaínas";112
"Vascos Vizcánas";113
"Vida y Leyenda";114
"Virgin Saints";115
"WEB Col Blastei";116
"Web Museo";117
"Web Museo - Museo Nacional del Virreinato";118
"Web Museo - Museo Nacional Virreinato";119
"Web museo - Tepotzotlán";120
"Web Museo Nacional del Virreinato";121
"Arte Sacra Colonial";122
"Web Worcester Art Museum";123
"Santa María: Iconografía del Arte Colonial";124
