Id;Escenario;TipoRelato;NombreDonante;Cartela;Simbolos;Id Imagen;Autor;Titulo;Fecha;ComentariosBiblio;Técnica;ProcedenciaIm;Fuenteimagen;Ciudad;Anotaciones;Id Relato - Personaje;Id Pasaje;Atributos iconográficos;Personajes excluidos;Sintesis
0;;;;;;0;;;;;;;;Colombia, Sopó;;;;;;
1;;;;FALSE;;1059;Anónimo;Catalina de Alejandría;;p;Pintura mural;;VALLIN, Rodolfo. Imágenes bajo cal y pañete. El sello editorial. Museo de arte moderno. Fiducafe, 2000.;Colombia;Seguramente catalina por tenazas (dientes) y libro (discusión con doctores) María Cristina Pérez;36;;A veces figura junto a las vírgenes Bárbara y Margarita, y lleva la corona del martirio. A menudo es representada con la o las ruedas de su suplicio rotas. Se representa también su matrimonio místico con el niño Jesús en los brazos de María.;;
2;;;;FALSE;;751;Gregorio Vásquez de Arce y Ceballos;Aarón ofreciendo sahumerio en el tabernáculo ;1680;;Óleo sobre tela;Museo colonial;Instituto Colombiano de Cultura y Museo de Arte Colonial. Gregorio Vasquez de Arce y Ceballos. Coleccion de obras. Bogotá: MAC, 1996.;Colombia, Bogotá;169 Convento Pertenecio santo domingo;;;;;
3;;;;FALSE;;1079;Anónimo;Adán y Eva en el paraíso Detalle ;;;Pintura mural;Iglesia de Turmequé;VALLIN, Rodolfo. Imágenes bajo cal y pañete. El sello editorial. Museo de arte moderno. Fiducafe, 2000.;Colombia, Turmequé;;;;;;
4;;;;FALSE;;580;Gregorio Vásquez de Arce y Ceballos;Adoración de los Pastores;XVII;;Óleo sobre madera;Museo colonial;PIZANO, Roberto. Fernando Restrepo. Gregorio Vásquez de Arce y Cevallos. Bogotá: editorial Siglo dieciséis, 1986;Colombia, Bogotá;318;;;;;
5;;;;FALSE;;1023;Baltasar de Figueroa;Adoración de los Pastores;XVII;;Óleo sobre tela;Iglesia de Turmequé;RESTREPO. Fernando. Los Figueroa: aproximación a su época y a su pintura. Bogotá: Villegas Editores, 1986.;Colombia, Turmequé;8;;;;;
6;;;;FALSE;;524;Gregorio Vásquez de Arce y Ceballos;Adoración de los Pastores;XVII;;Óleo sobre tela;Colección particular;PIZANO, Roberto. Fernando Restrepo. Gregorio Vásquez de Arce y Cevallos. Bogotá: editorial Siglo dieciséis, 1986;Colombia, Bogotá;162;;;;;
7;;;;FALSE;;829;Baltasar Vargas de Figueroa;Adoración de los Pastores;XVII;;Óleo sobre tela;Iglesia de Monguí;RESTREPO. Fernando. Los Figueroa: aproximación a su época y a su pintura. Bogotá: Villegas Editores, 1986.;Colombia, Monguí;14;;;;;
8;;;;FALSE;;411;Anónimo;Adoración de los Pastores;XVII;;Óleo sobre tela;Museo colonial;GÓMEZ Hurtado Álvaro y Gil-Tovar, Francisco. Arte virreinal en Bogotá. Bogotá: Villegas editores, 1987;Colombia, Bogotá;;;;;;
9;;;;FALSE;;553;Gregorio Vásquez de Arce y Ceballos;Adoración de los Pastores;XVII;;Óleo sobre tela;Museo colonial;PIZANO, Roberto. Fernando Restrepo. Gregorio Vásquez de Arce y Cevallos. Bogotá: editorial Siglo dieciséis, 1986;Colombia, Bogotá;229;;;;;
10;;;;FALSE;;842;Baltasar Vargas de Figueroa;Adoración de los Pastores;XVII;;Óleo sobre tela;Iglesia San Francisco;RESTREPO. Fernando. Los Figueroa: aproximación a su época y a su pintura. Bogotá: Villegas Editores, 1986.;Colombia, Bogotá;26;;;;;
11;Terreste;Historiada;;TRUE;;349;Baltasar Vargas de Figueroa;Adoración de los Pastores;XVII;;Óleo sobre tela;Museo Santa Clara;GUTIÉRREZ Vallejo, Jaime. Iglesia Museo Santa Clara. Catálogo de la Colección. Bogotá: Instituto Colombiano de Cultura, 1995.;Colombia, Bogotá;33. María Cristina Pérez;46;;;;Imagen religiosa en formato vertical en la que se representa la adoración de los pastores. En un primer lugar, se observa el Niño Jesús reposando tranquilamente sobre una cuna siendo arropado por la Virgen María, la cual tiene un vestido rojo, un manto az
12;;;;FALSE;;572;Gregorio Vásquez de Arce y Ceballos;Adoración de los Pastores;XVII;;Óleo sobre tela;Museo colonial;PIZANO, Roberto. Fernando Restrepo. Gregorio Vásquez de Arce y Cevallos. Bogotá: editorial Siglo dieciséis, 1986;Colombia, Bogotá;304;;;;;
