"ID";"ID Imagen";"Personajes_ID";"Principal";"Gestos Centrales";"Gestos Mano Rostro";"Otros gestos";"Relaciones Corporales";"Sentimientos_ID";"Acciones_ID";"Atributos_ID";"Vestidos_ID";"Edades_ID";"Géneros_ID"
3792;5;232;1;"Sentado.";"El rostro mira hacia el frente y las manos abiertas apoyadas sobre la mesa.";;;14;42;39;21;2;3
3793;5;561;0;;;;;;;;;;
3794;5;562;0;;;;;;;;;;
3795;5;563;0;;;;;;;;;;
3796;5;564;0;;;;;;;;;;
3797;5;565;0;;;;;;;;;;
3798;5;566;0;;;;;;;;;;
3799;5;567;0;;;;;;;;;;
3800;5;568;0;;;;;;;;;;
3801;5;569;0;;;;;;;;;;
3802;5;570;0;;;;;;;;;;
3803;5;571;0;;;;;;;;;;
3804;5;572;0;;;;;;;;;;
3789;4;542;1;"De pie.";"Las manos unidas en posición de oración, la mirada hacia la parte inferior.";;"Está en el centro de los dos santos.";3;231;83;21;2;2
3790;4;392;0;"De pie.";"La mirada hacia la Virgen, la mano derecha sobre el pecho y la izquierda abierta hacia abajo.";;"Está frente a Santa Clara.";5;231;39;21;2;3
3791;4;559;0;"De pie.";"El rostro se dirige hacia la Virgen y con las dos manos sostiene una prenda del hábito.";;"Está frente a San Francisco.";5;231;83;21;2;2
3786;3;451;1;"Postrada.";"La mano izquerda la apoya sobre el pecho y la derecha sobre la cama. La mirada se dirige a la mano de San Joaquín.";;;14;145;2;21;3;2
3787;3;413;0;"Sentado.";"La mano derecha la extiende hacia Santa Ana y la mirada hacia una de las parteras.";;;14;145;45;21;3;3
3788;3;560;0;"De pie.";"El rostro mira hacia la parte superior.";;"Las parteras y los ángeles la rodean para vestirla.";19;145;2;3;6;2
2436;2076;11;0;;;;;;;;;;
2437;2634;11;0;;;;;;;;;;
2438;2745;11;0;;;;;;;;;;
2439;2955;11;0;;;;;;;;;;
2440;2957;11;0;;;;;;;;;;
2441;3080;11;0;;;;;;;;;;
2442;3313;11;0;;;;;;;;;;
2443;3340;11;0;;;;;;;;;;
2444;3651;11;0;;;;;;;;;;
2445;3847;11;0;;;;;;;;;;
2446;4691;11;0;;;;;;;;;;
2447;4703;11;0;;;;;;;;;;
2448;4710;11;0;;;;;;;;;;
2449;5675;11;0;;;;;;;;;;
2450;4714;12;0;;;;;;;;;;
2451;4681;14;0;;;;;;;;;;
2452;4671;14;0;;;;;;;;;;
2453;4678;14;0;;;;;;;;;;
2454;5817;16;0;;;;;;;;;;
2455;6018;17;0;;;;;;;;;;
2456;4669;18;0;;;;;;;;;;
2457;5193;;0;;;;;;;;;;
2458;1219;20;0;;;;;;;;;;
2459;1446;20;0;;;;;;;;;;
2460;1997;11;0;;;;;;;;;;
2461;3899;11;0;;;;;;;;;;
2462;887;11;0;;;;;;;;;;
2463;2521;11;0;;;;;;;;;;
2464;2750;21;0;;;;;;;;;;
2465;9213;21;0;;;;;;;;;;
2466;897;21;0;;;;;;;;;;
2467;1223;21;0;;;;;;;;;;
2468;1268;21;0;;;;;;;;;;
2469;1301;21;0;;;;;;;;;;
2470;2201;21;0;;;;;;;;;;
2471;2543;21;0;;;;;;;;;;
2472;3032;21;0;;;;;;;;;;
2473;3163;21;0;;;;;;;;;;
2474;3297;21;0;;;;;;;;;;
2475;3635;21;0;;;;;;;;;;
2476;3696;21;0;;;;;;;;;;
2477;3849;21;0;;;;;;;;;;
2478;3851;21;0;;;;;;;;;;
2479;4606;21;0;;;;;;;;;;
2480;4616;21;0;;;;;;;;;;
2481;4765;21;0;;;;;;;;;;
2482;4770;21;0;;;;;;;;;;
2483;5140;21;0;;;;;;;;;;
2484;5167;21;0;;;;;;;;;;
2485;5279;21;0;;;;;;;;;;
2486;5280;21;0;;;;;;;;;;
2487;5281;21;0;;;;;;;;;;
2488;5530;21;0;;;;;;;;;;
2489;6074;21;0;;;;;;;;;;
2490;8877;21;0;;;;;;;;;;
2491;9057;21;0;;;;;;;;;;
2492;9141;21;0;;;;;;;;;;
2493;374;21;0;;;;;;;;;;
2494;421;21;0;;;;;;;;;;
2495;604;21;0;;;;;;;;;;
2496;754;21;0;;;;;;;;;;
2497;810;21;0;;;;;;;;;;
2498;829;21;0;;;;;;;;;;
2499;947;21;0;;;;;;;;;;
2500;962;21;0;;;;;;;;;;
2501;1397;21;0;;;;;;;;;;
2502;1399;21;0;;;;;;;;;;
2503;1414;21;0;;;;;;;;;;
2504;1416;21;0;;;;;;;;;;
2505;1492;21;0;;;;;;;;;;
2506;1496;21;0;;;;;;;;;;
2507;1557;21;0;;;;;;;;;;
2508;1645;21;0;;;;;;;;;;
2509;1760;21;0;;;;;;;;;;
2510;710;21;0;;;;;;;;;;
2511;2444;21;0;;;;;;;;;;
2512;2494;21;0;;;;;;;;;;
2513;2495;21;0;;;;;;;;;;
2514;2689;21;0;;;;;;;;;;
2515;2704;21;0;;;;;;;;;;
2516;2746;21;0;;;;;;;;;;
2517;2793;21;0;;;;;;;;;;
2518;2850;21;0;;;;;;;;;;
2519;2956;21;0;;;;;;;;;;
2520;3144;21;0;;;;;;;;;;
2521;3288;21;0;;;;;;;;;;
2522;3296;21;0;;;;;;;;;;
2523;3298;21;0;;;;;;;;;;
2524;3301;21;0;;;;;;;;;;
2525;3327;21;0;;;;;;;;;;
2526;3328;21;0;;;;;;;;;;
2527;3713;21;0;;;;;;;;;;
2528;3725;21;0;;;;;;;;;;
2529;3834;21;0;;;;;;;;;;
2530;3896;21;0;;;;;;;;;;
2531;3941;21;0;;;;;;;;;;
2532;4420;21;0;;;;;;;;;;
2533;4457;21;0;;;;;;;;;;
2534;4461;21;0;;;;;;;;;;
2535;4464;21;0;;;;;;;;;;
2536;4485;21;0;;;;;;;;;;
2537;4701;21;0;;;;;;;;;;
2538;4829;21;0;;;;;;;;;;
2539;4920;21;0;;;;;;;;;;
2540;4962;21;0;;;;;;;;;;
2541;5000;21;0;;;;;;;;;;
2542;5158;21;0;;;;;;;;;;
2543;5169;21;0;;;;;;;;;;
2544;5170;21;0;;;;;;;;;;
2545;5171;21;0;;;;;;;;;;
2546;5172;21;0;;;;;;;;;;
2547;5176;21;0;;;;;;;;;;
2548;5371;21;0;;;;;;;;;;
2549;5373;21;0;;;;;;;;;;
2550;5388;21;0;;;;;;;;;;
2551;5648;21;0;;;;;;;;;;
2552;6029;21;0;;;;;;;;;;
2553;6030;21;0;;;;;;;;;;
2554;8940;21;0;;;;;;;;;;
2555;8944;21;0;;;;;;;;;;
2556;9132;21;0;;;;;;;;;;
2557;9139;21;0;;;;;;;;;;
2558;9203;21;0;;;;;;;;;;
2559;9261;21;0;;;;;;;;;;
2560;2645;21;0;;;;;;;;;;
2561;2307;21;0;;;;;;;;;;
2562;3904;21;0;;;;;;;;;;
2563;475;21;0;;;;;;;;;;
2564;826;21;0;;;;;;;;;;
2565;843;21;0;;;;;;;;;;
2566;1152;21;0;;;;;;;;;;
2567;1334;21;0;;;;;;;;;;
2568;1427;21;0;;;;;;;;;;
2569;1429;21;0;;;;;;;;;;
2570;1603;21;0;;;;;;;;;;
2571;1867;21;0;;;;;;;;;;
2572;2067;21;0;;;;;;;;;;
2573;2208;21;0;;;;;;;;;;
2574;2250;21;0;;;;;;;;;;
2575;2274;21;0;;;;;;;;;;
2576;2503;21;0;;;;;;;;;;
2577;2643;21;0;;;;;;;;;;
2578;2649;21;0;;;;;;;;;;
2579;2650;21;0;;;;;;;;;;
2580;2651;21;0;;;;;;;;;;
2581;3098;21;0;;;;;;;;;;
2582;4679;21;0;;;;;;;;;;
2583;4682;21;0;;;;;;;;;;
2584;154;21;0;;;;;;;;;;
2585;502;21;0;;;;;;;;;;
2586;605;21;0;;;;;;;;;;
2587;741;21;0;;;;;;;;;;
2588;1338;21;0;;;;;;;;;;
2589;1475;21;0;;;;;;;;;;
2590;1536;21;0;;;;;;;;;;
2591;1656;21;0;;;;;;;;;;
2592;2191;21;0;;;;;;;;;;
2593;2308;21;0;;;;;;;;;;
2594;2309;21;0;;;;;;;;;;
2595;2313;21;0;;;;;;;;;;
2596;2420;21;0;;;;;;;;;;
2597;2509;21;0;;;;;;;;;;
2598;3283;21;0;;;;;;;;;;
2599;3821;21;0;;;;;;;;;;
2600;3922;21;0;;;;;;;;;;
2601;3924;21;0;;;;;;;;;;
2602;4722;21;0;;;;;;;;;;
2603;5459;21;0;;;;;;;;;;
2604;5461;21;0;;;;;;;;;;
2605;5462;21;0;;;;;;;;;;
2606;4669;22;0;;;;;;;;;;
2607;1917;23;0;;;;;;;;;;
2608;4668;21;0;;;;;;;;;;
2609;2256;24;0;;;;;;;;;;
2610;608;25;0;;;;;;;;;;
2611;2476;26;0;;;;;;;;;;
2612;5168;27;0;;;;;;;;;;
2613;2845;27;0;;;;;;;;;;
2614;5490;28;0;;;;;;;;;;
2615;376;29;0;;;;;;;;;;
2616;2297;30;0;;;;;;;;;;
2617;1024;31;0;;;;;;;;;;
2618;40;32;0;;;;;;;;;;
2619;72;32;0;;;;;;;;;;
2620;1393;33;0;;;;;;;;;;
2621;5144;34;0;;;;;;;;;;
2622;5173;424;0;;;;;;;;;;
2623;5302;35;0;;;;;;;;;;
2624;7750;36;0;;;;;;;;;;
2625;2197;21;0;;;;;;;;;;
2626;2227;21;0;;;;;;;;;;
2627;2640;21;0;;;;;;;;;;
2628;2652;21;0;;;;;;;;;;
2629;4680;21;0;;;;;;;;;;
2630;4719;21;0;;;;;;;;;;
2631;4899;21;0;;;;;;;;;;
2632;5556;21;0;;;;;;;;;;
2633;858;37;0;;;;;;;;;;
2634;2502;38;0;;;;;;;;;;
2635;1588;40;0;;;;;;;;;;
2636;999;40;0;;;;;;;;;;
2637;2512;40;0;;;;;;;;;;
2638;2515;41;0;;;;;;;;;;
2639;4668;42;0;;;;;;;;;;
2640;4059;42;0;;;;;;;;;;
2641;8056;43;0;;;;;;;;;;
2642;1429;438;0;;;;;;;;;;
2643;5556;438;0;;;;;;;;;;
2644;1576;438;0;;;;;;;;;;
2645;1618;438;0;;;;;;;;;;
2646;9213;44;0;;;;;;;;;;
2647;2395;44;0;;;;;;;;;;
2648;2543;44;0;;;;;;;;;;
2649;5379;44;0;;;;;;;;;;
2650;3035;44;0;;;;;;;;;;
2651;4531;44;0;;;;;;;;;;
2652;5378;44;0;;;;;;;;;;
2653;5380;44;0;;;;;;;;;;
2654;5676;44;0;;;;;;;;;;
2655;833;44;0;;;;;;;;;;
2656;1894;44;0;;;;;;;;;;
