Id;Nombre;Fecha de muerte;Fecha de beatificación;Fecha de canonización;Mini biografía;Virtudes centrales;VC Observaciones;Fuente
1;Santo Tomás de Villanueva;1555;;1658;"Tomás García Martínez, nació en FuenLlana, España en 1488. Creció y se educó en Villanueva de los Infantes, de allí su nombre. Aunque hizó sus estudios de Artes y Teología en la Universidad de Alcalá, ingresó a la orden de los agustinos de Salamanca en 1516 y en 1520 fue ordenado sacerdote. Fue profesor de la universidad, también en salamanca y consejero y confesor de Carlos V de España.  Arzobispo de Valladolid

Socorría a los pobres, pero poseía una concepción diferente de la piedad, de forma que aunque daba limosna procuraba solucionar definitivamente la pobreza mediante la redención activa de la misma, dando trabajo a los pobres, y así hacía fructificar sus limosnas: «La limosna no sólo es dar, sino sacar de la necesidad al que la padece y librarla de ella cuando fuere posible».

En 1533 envió a América los primeros Padres Agustinos que llegaron a México. Ese mismo año empezó a tener éxtasis místicos en misa o cuando rezaba los salmos.

Predicó en Burgos y Valladolid. Carlos V, le ofreció el cargo de arzobispo de Granada, pero nunca lo aceptó hasta que en 1544 lo nombró Arzobispo de Valencia, cargo que finalmente aceptó por orden de sus superiores. Allí puso orden a la diócesis, organizó un colegio especial para los moriscos conversos y organizó un plan eficaz de asistencia y auxilio social y de caridad.

Falleció en 1555 a los 66 años, de una angina de pecho, después de que el Señor se lo había hecho saber por medio de una voz. Mandó a repartir entre los pobres todo el dinero que había en su casa.

Luego de 33 años de muerto su cuerpo fue hallado incorrupto. Fue canonizado por el papa Alejandro VII. Su fiesta litúrgica se celebra el 10 de octubre. Francisco de Quevedo escribió una biografía suya. Sus obras completas fueron editadas en Manila en 1881, Opera omnia, seis vols.";Obras de misericordia;"Limosna

Austeridad

Caridad";"Varias, Internet; Ferrando Roig; Arte y Fe;"
3;Ambrosio;397;;;Obispo de Milán y doctor de la Iglesia Fue gobernador de Liguria y Emilia. Iconograficamente puede llevar látigo, disciplinas o una colmena;;;"Roig;"
5;Eustaquio;130;;;"Nació en Roma y militó en las banderas de los emperadores Vespasiano y Tito en su guerra contra los judíos, donde Eustaquio llegó a capitán. Tenía mujer e hijos, y, aunque gentil, era modesto y amigo de hacer bien. Tuvo el emperador Trajano necesidad de su valor para una guerra que se le ofreció; buscóle y, habiéndole hallado, le encomendó la empresa, con el cargo de capitán general. Consiguió la victoria, y en la vuelta encontró a su mujer y a sus hijos, y todos cuatro, por ser cristianos, fueron presos y puestos en un buey de metal hecho fuego, y en este martirio entregaron sus almas al Señor el día 20 de Septiembre año 130.

Fue perseguido por los romanos por su nueva fe. Ya retirado al campo, fue llamado por Trajano para que luchara en nombre del Imperio en contra de los bárbaros haciéndolo General del Ejército Romano. Después de la victoria, al declararse cristiano ante el emperador fue condenado y echado, junto a su familia, a las fieras, quienes le lamieron los pies sin hacerle daño alguno.";Espiritu Santo;Modestia;"Flos Sanctorum Rivadeneira; Internet"
6;Martín de Tours;400;;;"Oriundo de Sabaria en la Panonia (Hungría). A los diez años se hizo catecúmeno; y a los quince en virtud de un decreto imperial fue alistado en la milicia, sirvió en el ejército de Constancio, y después en el de Juliano el Apóstata. Después de su conversión, sufrió azotes y humillaciones en Hungría, donde también pretendió convertir a sus padres, sin embargo, su padre se rehusó. Con sus oraciones resucitó dos muertos. Fue escogido obispo de la diócesis de Tours. Edificó un monasterio, donde vivió algún tiempo con ochenta santos hombres; convirtió inumerables infieles, sanó un leproso con solo besarle, sosegó en Treveris un grave tumulto; y salía de él con tanta copia la gracia de los milagros, que hasta los pedazos de su vestido, las cartas que escribía y las pajas de su lecho obraban milagrosamente curaciones. El Señor lo llamaba para sí, el lo supo, por lo cual expiró plácidamente a la edad de ochenta y un años; y su alma fué vista subir al cielo llevada en manos de los ángeles";Capitales;Caridad;"Internet; Flos Rivadeneira 3; p. 403"
7;Jorge;290;;;"Natural de Capadocia. Siguió la milicia y vino a ser tribuno y miembro del Consejo del Emperador Dioclaciano. Defendió a los cristianos de las iniciativas del emperador, afirmando su fé frente al consejo de Dioclaciano. Torturado por orden del emperador con una rueda armada por todas partes con puntas aceradas que despedazaban sus carnes. Hallaron después al invicto mártir milagrosamente curado de sus heridas , y como el emperador volviese a exhortarle a ofrecer incienso a Apolo, entraron en el templo y estando todos todos mirando a San Jorge, él se llegó a la estatua de Apolo, y extendiendo la mano, le preguntó: “ Dime, ¿eres Dios?” “No soy Dios”, respondió la estatua, y el santo, haciendo la señal de la cruz, le reprendió diciendo “ Pues, ¿Cómo osas estar aquí en mi presencia”? Oyéronse entonces en el templo alaridos y aullidos dolorosos, cayeron los ídolos y se hicieron pedazos. Gran cantidad  de gentiles se convirtieron al ver caídos los falsos dioses por la palabra de San Jorge. El emperador le mandó a a degollar, y en este suplicio alcanzó la gloriosa palma de los mártires.

Importante: “…El haber sido militar este santo fué causa que la gente le invocase contra sus enemigos…Y para representar el favor que recibieron de San jorge (Pedro I de Alcaraz vs. los Moros, donde apareció San Jorge a caballo; rey Don Jaime el Conquistador ¿con los moros?)";Cardinales;"Serenidad

Fortaleza";"Flos Sanctorum Rivadeneira; Internet"
8;Cosme y Damián;303;;;"San Cosme y San Damián fueron hermanos, naturales de Egea. Estudiaron letras y ciencias humanas y especialmente medicina, no pocas veces por arte divina sanaban dolencias incurables. Cuaraban por misericordia y amor a Dios. Lisias, perseguidor de Cristianos, mandólos traer a su presencia, y procuró  persuadirles que sacrificaran a los dioses del imperio (romano); y como vieron que perdía tiempo, los mandó atar  de pies y manos, azotarlos, atormentarlos, y luego, así como estaban atados, que los echasen en la mar; pero un ángelo los desató y libró y puso en la ribera. Súpolo el procónsul, y atribuyéndolo a arte mágica, los mandó poner en la cárcel, y al día siguiente los hizo echar en una hoguera encendida; y los dos santos salieron ilesosde las devoradoras llamas. Sin embargo, Lisias, mandólos colgar  en el ecúleo; y descoyuntar sus sagrados miembros; más el ángel del Señor, que los había librado ya del agua y del fuego, los amparó también entonces, y los sacó de aquél tormento sin lesión alguna. Lisias, negándose a creer lo sucedido los mandó atar en sendas cruces, los levantasen en alto y que allí fuesen apedreados hasta que acabasen la vida, todo lo cual no tuvo más efecto que los tormentos pasados. Finalmente los mandó asaetear hasta destrozar los cuerpos; y al ver la inutilidad de este tormento, los hizo degollar. De esta manera acabaron sus vidas los dos santos mártires, y con ellos otros tres hermanos suyos.";;;Flos Sanctorum Rivadeneira: Internet
9;Liberato;483;;;Vinieron los soldados de Hunerico, rey de los Vándalos, a un monasterio que vivía bajo el gobierno del santo abad Liberato: y habiendo los bárbaros derribado las puertas del monasterio, maltrataron a varios miembros del monasterio, y los llevaron presos a Cartago, y al tribunal de Hunerico. Ordenóles el tirano que negaran su fé, sin embargo, no lo hicieron, razón por la cual fueron encarcelados, sin embargo, católicos de Cartago, persuadieron a los guardas que soltasen a los santos monjes (Rogato, Séptimo y Máximo). La libertad fue otorgada dentro de la misma cárcel, y fue utilizada con el fin de “esforzar” a otros muchos cristianos que también estaban prisioneros en la cárcel: Lo cual habiendo habiendo llegado a oídos del tirano, castigó a los guardas y a los santos monjes, además dió orden que aprestasen un bajel inútil y carcomido, y que habiendo echado en él buena cantidad de leña, pusiesen sobre ella a los santos atados de pies y manos y los abrasasen en el mar. Aunque los verdugos, una y otra vez aplicaron hachas encendidas en las ramas secas amontonadas en el barco, nunca pudo prender en ella fuego. Al saber esto, Hunerico dió la orden expresa de que se les destruyera el cerebro por medio de golpes y botaran sus cuerpos al mar, de dónde fueron rescatados por católicos, quienes los sepultaron.;;;"Flos Sanctorum Rivadeneira;"
10;Máximo;480;;;Nacido en Dacomer (Francia). Tomó el hábito en el monasterio de Lerins donde el Santo hizo grandes progresos en la virtud. Quiso nuestro Señor, manifestar la heroica virtud de su siervo, obrando por él grandes milagros, y curando toda suerte de enfermedades. Huyendo del cargo de obispo de Riez a él ofrecido, navegó hasta las costas de Italia, donde los comisarios lo alcanzaron y lo devolvieron a Riez. Allí fue amado, resucitó dos muertos, asistió a varios concilios celebrados en su provincia y en las comarcanas. Fue uno de los prelados que aprobaron la epístola de san León a Flaviano, entre otras. Fue sepultado en la iglesia de San Pedro, que e´l mismo había construido;;Milagros;"Flos Sanctorum Rivadeneira;"
11;Antonio de Padua;1231;;;"Nació en Lisboa. Bebió con la leche de su madre la devoción a la Virgen Santísima; y a la edad de 15 años tomó el hábito en el monasterio de canónigos reglares de San Agustín, luego pasó a la religión seráfica, llevado del deseo de convertir a los moros y derramar su sangre por Jesucristo. Viajó por Francia e Italia con el fin de educarse. Eran sus palabras como unas llamas de fuego que abrasaban los corazones , y como Dios las confirmaba con grandes prodigios, fueron innumerables los herejes y pecadores que convirtió en Francia e Italia. Una vez, disputandocon un hereje llamado Bonibilo que negaba la presencia la presencia de Cristo en la Eucarístia, hizo que la mula del hereje, a pesar de haber estado tres días sin comer, dejase la cebada que le ponían delante, para arrodillarse delante del santísimo Sacramento; con este milagro se convirtió Bonibilo, entre otros muchos mas milagros. Murió después de 10 años de servicio apostólico.";;;"Flos Sanctorum Rivadeneira;"
12;Silverio;538;;;"Natural de Roma. Se ordenó de Diácono de la iglesia Romana, y fue elevado después a la cátedra de san Pedro. Edificó toda la cristiandad con el ejemplo de sus santas costumbres, y protegió la Iglesia de Dios hasta dar la vida en su defensa. La emperatriz Teodora (que era hereje) pretendía restituir la silla de Constantinopla a Antimo, cabeza de los herejes eutiquianos, así escribió a Belisario, general de sus tropas, con el fin de que lo hiciese negar la silla de Constantinopla, en caso que san Silverio se resistiese, le privase el pontificiado. Belisario le propuso al pontífice lo expuesto por la emperatriz y no hizo ningún caso de ello; por el contrario respondió que antes perdería el pontificiado y la vida, que restituir la silla de Constantinopla a un hereje. Al ver Belisario lo poco que podían los fieros y amenazas con el santo pontífice, no quiso poner en él las manos sin algún justo o aparente pretexto. La mujer de Belisario, Antonina, fingió algunas cartas como escritas por Silverio a los godos, en que les prometía que si llegaban a Roma les entregaría la ciudad y al mismo tiempo a Belisario, que ahí estaba. Llamaron después Belisario y su mujer al santo pontífice a su palacio, y habiendo entrado lo detuvieron a él y a sus acompañantes, a san Silverio lo despojaron  de su hábito pontifical y le vistieron de monje, y con buena guarda lo mandaron desterrado a Patara de Licia. Luego fue desterrado a Palmaria (una isla), donde afligido y consumido de pobreza, calamidades y miserias vino a morir.";;;"Flos Sanctorum Rivadeneira;"
