"Simbolo";"Obra";"ID Imagen"
"Agnus dei";2307;2307
"Agnus dei";3904;3904
"Agua";2204;2204
"Agua";5832;5832
"Agua";5815;5815
"Aguila";8611;9465
"Aguila";2198;2198
"Aguila";2509;2509
"Aguila";5462;5462
"Aguila";5461;5461
"Aguila";5459;5459
"Aguila";7191;8045
"Aguila";5925;5925
"Aguila";2313;2313
"águila con espada";2191;2191
"Alas";5786;5786
"Alas";5829;5829
"Alma";2931;2931
"almas";838;838
"altar";1488;1488
"altar";4517;4517
"altar";3632;3632
"altar Virgen Maria";4362;4362
"anagrama IHS";2718;2718
"Ancla";3342;3342
"Ancla";2205;2205
"Ancla";5831;5831
"Ancla";5818;5818
"angel";912;3244
"angeles";1091;1091
"angeles";3065;3065
"angeles";1470;1470
"angeles";837;837
"angeles";4387;4387
"angeles";1271;1271
"angeles";2248;2248
"anillo";4671;4671
"anillo";2741;2741
"anillo";2632;7524
"anillo";3275;3275
"animales";1151;1151
"Animales (vacas";858;858
"animales representando los vicios";3027;3027
"antorcha";376;376
"arabescos";2116;2116
"árbol";2211;2211
"árbol";5824;5824
"árbol";5678;5678
"árbol";5679;5679
"árbol";1253;1253
"árbol";1101;1101
"árbol";2309;2309
"árbol con ratones en las raíces";1501;1501
"árbol de la redención";2326;2326
"Árbol de la vida- Vid";1155;1155
"Arbol del fruto prohibido";3928;3928
"Árbol del paraíso";1216;1216
"arca de la alianza";1179;1179
"arco";5811;5811
"arco";5820;5820
"arco";4723;4723
"arco";2651;2651
"Arco Iris";2644;2644
"Arco Iris";1398;1398
"arco y carcaj; fuego; leones y caimán; palmera";2669;2669
"arcos y flechas";1252;1252
"arcos y flechas";8613;9467
"arcos y flechas";4363;4363
"armadura";1093;1093
"armadura";1094;1094
"armadura";85;85
"armadura";1170;1170
"armadura";4363;4363
"arpa";4716;4716
"arpa";665;665
"arpa y flauta";1557;1557
"asno";37;37
"aurelola";2893;2893
"aureola";4378;4378
"aureola";4349;5493
"aureola";912;3244
"aureola";3660;3660
"aureola";2837;2837
"aureola";1100;1100
"aureola";1102;1102
"aureola";3;3
"aureola";1403;1403
"aureola";1;1889
"aureola";1101;1101
"aureola";4668;4668
"aureola";4384;5496
"aureola";3178;3178
"aureola";4640;4640
"aureola";4638;4638
"aureola de estrellas de la Virgen";8242;9096
"aureola de estrellas de la Virgen";8241;9095
"aureola de estrellas de la Virgen";1760;1760
"aureola de luz sobre la cabeza";1407;1407
"aureola de luz sobre la cabeza";2698;2698
"Aureola de luz sobre todo el cuerpo";1514;1514
"aureola de luz y en aro";392;392
"aureola de rayos";4825;4825
"aureola de rayos";3790;3790
"aureola de rayos";2848;2848
"aureola de rayos de Ana";8241;9095
"aureola de rayos de Jesús";1761;1761
"aureola de rayos de Jesús";1223;1223
"aureola de rayos de Jesús";3851;3851
"aureola de rayos de Jesús";3144;3144
"aureola de rayos de Jesús";26;26
"aureola de rayos de Jesús";2853;2853
"aureola de rayos de Jesús";1397;1397
"aureola de rayos de Jesús";3189;3189
"aureola de rayos de Jesús";3368;3368
"aureola de rayos de Jesús";4458;4458
"aureola de rayos de Jesús";5000;5000
"aureola de rayos de Jesús y aureola redonda de José";2704;2704
"aureola de rayos de Jesús y aureola redonda de José";2812;2812
"aureola de rayos de Jesús y aureola redonda de José";404;404
"aureola de rayos de Jesús y aureola redonda de San José";4624;4624
"aureola de rayos de Jesús y María y aureola redonda de San José";475;475
"aureola de rayos de Jesús y María y aureola redonda de San José";335;335
"aureola de rayos de la Virgen María";3031;3031
"aureola de rayos de la Virgen María";4616;4616
"aureola de rayos de la Virgen María";1496;1496
"aureola de rayos de la Virgen María";334;334
"aureola de rayos de la Virgen María";208;208
"aureola de rayos de la Virgen María";2758;2758
"aureola de rayos de la Virgen María";137;137
"aureola de rayos de la Virgen y aureola redonda de San José";329;329
"aureola de rayos de la Virgen y Jesús";3299;3299
"aureola de rayos de la Virgen y Jesús";8217;9071
"aureola de rayos de Maria";1680;1680
"aureola de rayos de Maria";1500;1500
"aureola de rayos de Maria";1502;1502
"aureola de rayos de María y aureola redonda de José";1009;1009
"aureola de rayos de María y Jesús";336;336
"aureola de rayos de María y Jesús";3154;3154
"aureola de rayos de María y Jesús";1493;1493
"aureola de rayos de María y Jesús";1497;1497
"aureola de rayos de María y Jesús";897;897
"aureola de rayos de María y Jesús";4662;4662
"aureola de rayos de María y Jesús";4666;4666
"aureola de rayos de San Joaquin";8242;9096
"aureola de rayos de San José";1393;1393
"aureola de rayos de Virgen";4962;4962
"aureola de rayos de Virgen y Jesús y aureola redonda de José";4829;4829
"aureola de rayos dorada de María y Jesús";4485;4485
"aureola de rayos y redonda de José";4972;4972
"aureola de rayps de Santa Ana";1313;1313
"aureola de San Ignacio";2903;2903
"aureola de San Ignacio";3643;3643
"aureola de San Ignacio";3019;3019
"aureola de San Jose";5135;5135
"aureola de San Jose";5134;5134
"aureola dorada de José";3154;3154
"aureola dorada redonda para San Jose y aureola de rayos iluminados para la Virgen María";4652;4652
"aureola dorada redonda para San Jose y aureola de rayos iluminados para la Virgen María";4665;4665
"aureola estrellada de María";2748;2748
"aureola estrellada de María";2812;2812
"aureola redonda de Ana y aureola de rayos de la Virgen";2795;2795
"aureola redonda de Ana y Joaquin";1760;1760
"aureola redonda de Jesús";4972;4972
"aureola redonda de Joaquin";1746;1746
"aureola redonda de José";4662;4662
"aureola redonda de José";4666;4666
"aureola redonda de José";1493;1493
"aureola redonda de José";1397;1397
"aureola redonda de José";26;26
"aureola redonda de José";2748;2748
"aureola redonda de José";3144;3144
"aureola redonda de Jose y aureola iluminada de Maria y Jesús";1399;1399
"aureola redonda de José y San Joaquín";3031;3031
"aureola redonda de la Virgen María";376;376
"aureola redonda de la Virgen y Jesús";2957;2957
"aureola redonda de la Virgen y Santa Ana";3357;3357
"aureola redonda de San Joaquín";4770;4770
"aureola redonda de San Joaquin y aureola de rayos de la Virgen";1301;1301
"aureola redonda de San José";3834;3834
"aureola redonda de San José";137;137
"aureola redonda de San José";3032;3032
"aureola redonda de San José";1496;1496
"aureola redonda de San José";4471;4471
"aureola redonda de San José";336;336
"aureola redonda de San José y aureola de rayos de Jesús";1623;1623
"aureola redonda de San José y de rayos de Jesús";2846;2846
"aureola redonda de San José y San Juan Bautista";1497;1497
"aureola redonda de San Juan";3299;3299
"aureola reodnda de José y aureola de rayos de Jesús";4964;4964
"aureola sobre la cabeza";291;291
"aureola sobre la cabeza";192;192
"Aureola y sello IHS";4340;4340
"aureolas con rayos iluminados";2564;2564
"aureolas de rayos de ambos";7125;7979
"aureolas de rayos de Dios Padre y la Virgen Maria";2543;2543
"aureolas de rayos de Maria y Jesus y redonda de Jose; lirio de Jose";5143;5143
"aureolas de San Jose y Maria";1964;1964
"aureolas de San Jose y Maria";836;836
"aureolas de San Jose y Maria";856;856
"aureolas doradas";4483;4483
"aureolas doradas";4270;4270
"aureolas doradas";4364;4364
"aureolas José y Virgen María";3339;3339
"aureolas redondas";3038;3038
"aureolas redondas";4464;4464
"aureolas redondas";3366;3366
"aureolas redondas";8226;9080
"aureolas redondas";4961;4961
"aureolas redondas";2297;2297
"aureolas redondas de Jesús y María";3163;3163
"aureolas redondas de Joaquin y Ana";1680;1680
"aureolas redondas de Joaquin y Ana";208;208
"aureolas redondas de Joaquin y Ana";1761;1761
"aureolas redondas de José";810;810
"aureolas redondas de José y la Virgen y aureola de rayos de Jesús";2250;2250
"aureolas redondas de José y María";3830;3830
"aureolas redondas de la Virgen";1393;1393
"aureolas redondas de la Virgen";2554;2554
"aureolas redondas de Maria";1337;1337
"aureolas redondas de María y Jose y aureola de rayos de Jesús";5176;5176
"aureolas redondas de San Joaquin y Santa Ana";325;325
"aureolas redondas de San Joaquin y Santa Ana";159;159
"aureolas redondas de San Joaquín y Santa Ana y aureolas de rayos de la Sagrda Familia";2201;2201
"aureolas redondas de San Jose";2395;2395
