"ID";"Simbolo"
1;"Agnus dei"
2;"Agua"
3;"Aguila"
4;"águila con espada"
5;"Alas"
6;"Alma"
7;"almas"
8;"altar"
9;"altar Virgen Maria"
10;"anagrama IHS"
11;"Ancla"
12;"angel"
13;"angeles"
14;"anillo"
15;"animales"
16;"Animales (vacas"
17;"animales representando los vicios"
18;"antorcha"
19;"arabescos"
20;"árbol"
21;"árbol con ratones en las raíces"
22;"árbol de la redención"
23;"Árbol de la vida- Vid"
24;"Arbol del fruto prohibido"
25;"Árbol del paraíso"
26;"arca de la alianza"
27;"arco"
28;"Arco Iris"
29;"arco y carcaj; fuego; leones y caimán; palmera"
30;"arcos y flechas"
31;"armadura"
32;"arpa"
33;"arpa y flauta"
34;"asno"
35;"aurelola"
36;"aureola"
37;"aureola de estrellas de la Virgen"
38;"aureola de luz sobre la cabeza"
39;"Aureola de luz sobre todo el cuerpo"
40;"aureola de luz y en aro"
41;"aureola de rayos"
42;"aureola de rayos de Ana"
43;"aureola de rayos de Jesús"
44;"aureola de rayos de Jesús y aureola redonda de José"
45;"aureola de rayos de Jesús y aureola redonda de San José"
46;"aureola de rayos de Jesús y María y aureola redonda de San José"
47;"aureola de rayos de la Virgen María"
48;"aureola de rayos de la Virgen y aureola redonda de San José"
49;"aureola de rayos de la Virgen y Jesús"
50;"aureola de rayos de Maria"
51;"aureola de rayos de María y aureola redonda de José"
52;"aureola de rayos de María y Jesús"
53;"aureola de rayos de San Joaquin"
54;"aureola de rayos de San José"
55;"aureola de rayos de Virgen"
56;"aureola de rayos de Virgen y Jesús y aureola redonda de José"
57;"aureola de rayos dorada de María y Jesús"
58;"aureola de rayos y redonda de José"
59;"aureola de rayps de Santa Ana"
60;"aureola de San Ignacio"
61;"aureola de San Jose"
62;"aureola dorada de José"
63;"aureola dorada redonda para San Jose y aureola de rayos iluminados para la Virgen María"
64;"aureola estrellada de María"
65;"aureola redonda de Ana y aureola de rayos de la Virgen"
66;"aureola redonda de Ana y Joaquin"
67;"aureola redonda de Jesús"
68;"aureola redonda de Joaquin"
69;"aureola redonda de José"
70;"aureola redonda de Jose y aureola iluminada de Maria y Jesús"
71;"aureola redonda de José y San Joaquín"
72;"aureola redonda de la Virgen María"
73;"aureola redonda de la Virgen y Jesús"
74;"aureola redonda de la Virgen y Santa Ana"
75;"aureola redonda de San Joaquín"
76;"aureola redonda de San Joaquin y aureola de rayos de la Virgen"
77;"aureola redonda de San José"
78;"aureola redonda de San José y aureola de rayos de Jesús"
79;"aureola redonda de San José y de rayos de Jesús"
80;"aureola redonda de San José y San Juan Bautista"
81;"aureola redonda de San Juan"
82;"aureola reodnda de José y aureola de rayos de Jesús"
83;"aureola sobre la cabeza"
84;"Aureola y sello IHS"
85;"aureolas con rayos iluminados"
86;"aureolas de rayos de ambos"
87;"aureolas de rayos de Dios Padre y la Virgen Maria"
88;"aureolas de rayos de Maria y Jesus y redonda de Jose; lirio de Jose"
89;"aureolas de San Jose y Maria"
90;"aureolas doradas"
91;"aureolas José y Virgen María"
92;"aureolas redondas"
93;"aureolas redondas de Jesús y María"
94;"aureolas redondas de Joaquin y Ana"
95;"aureolas redondas de José"
96;"aureolas redondas de José y la Virgen y aureola de rayos de Jesús"
97;"aureolas redondas de José y María"
98;"aureolas redondas de la Virgen"
99;"aureolas redondas de Maria"
100;"aureolas redondas de María y Jose y aureola de rayos de Jesús"
101;"aureolas redondas de San Joaquin y Santa Ana"
102;"aureolas redondas de San Joaquín y Santa Ana y aureolas de rayos de la Sagrda Familia"
103;"aureolas redondas de San Jose"
104;"Ave"
105;"aves"
106;"aves (palomas)"
107;"aves de diferentes tipos"
108;"aves rosas"
109;"aves y flores (rosas)"
110;"azadón y orbe"
111;"Azucena"
112;"azucenas"
113;"azucenas de San José"
114;"azucenas Llamas"
115;"Azucenas que llevan los ángeles"
116;"azucenas y aureola"
117;"azucenas y frutas"
118;"azucenas y triángulo"
119;"baco español que representa la conquista"
120;"báculo"
121;"Balanza"
122;"bandeja y madeja? Del angel"
123;"bandera"
124;"bandera con cruz"
125;"bandolina"
126;"barco"
127;"Barril"
128;"barriles"
129;"baston"
130;"baston de Jesus"
131;"baston de peregrino"
132;"baston y sombrero"
133;"biblia"
134;"boca sellada con candado"
135;"Bolsa de monedas"
136;"bolso indígena"
137;"bosque"
138;"botella"
139;"buey"
140;"buey alado"
141;"burro"
142;"Caballo"
143;"Caballo de palo"
144;"cabaña"
145;"Cabra"
146;"cabro"
147;"Cadáver"
148;"cadenas"
149;"caimán Piña"
150;"calabera"
151;"calavera"
152;"caldero"
153;"Cáliz"
154;"caliz con la sangre de Cristo crucificado"
155;"Caliz con serpiente"
156;"cama"
157;"Camello"
158;"Caminador"
159;"camino"
160;"campana"
161;"Canasta"
162;"canasta de Jesús"
163;"canasto de rosas"
164;"candelabro"
165;"candelabro con cirios encendidos"
166;"candil"
167;"cantaro"
168;"cántaro y cesta tapada por una tela"
169;"Cántaro/Corazón"
170;"capa"
171;"capa con flores dibujas"
172;"carátula de reloj"
173;"carcaj"
174;"cárcel"
175;"carro de triunfo"
176;"cartas"
177;"castillo"
178;"casulla"
179;"Caverna"
180;"cayado"
181;"cedros"
182;"celda"
183;"cepillo"
184;"cerdo"
185;"cero de caña"
186;"cetro"
187;"Cetro de caña"
188;"Cetro y orbe; armadura"
189;"cetrobáculo"
190;"cetros"
191;"charitas"
192;"Chelo"
193;"chelo de los ángeles"
194;"chimenea"
195;"chivos"
196;"ciprés"
197;"cipreses"
198;"circulo con luz"
199;"Cirio"
200;"cirios"
201;"cirios encedidos sobre un plato"
202;"cirios encendidos"
203;"cirios iluminados"
204;"Cirios prendidos"
205;"Ciudad"
206;"ciudad en miniatura"
207;"clavos"
208;"cocina"
209;"cofre"
210;"cofre con joyas"
211;"cofre de los santos oleos y libro"
212;"cojín de tejido"
213;"collar"
214;"columna"
215;"columna de castigo"
216;"Columna en ruinas"
217;"comida"
218;"con la lanza"
219;"conquistadores y campesinos"
220;"construccion medieval"
221;"construcciones"
222;"copa"
223;"copas"
224;"copón con ostia sostenida por un angel"
225;"copón entre sus manos"
226;"Copón y ostia"
227;"coral"
228;"corazón"
229;"corazón alado en llamas en la mano del arcangel"
230;"Corazón atado por cuerdas"
231;"Corazón atravesado por flechas"
232;"corazón con fuego en la mano"
233;"corazón con rana y cerdo"
234;"Corazón de San Ignacio iluminado (con cruz en el centro?)"
235;"corazón en la mano"
236;"corazón en llamas atravesado por flechas"
237;"corazón en llamas en las manos de los santos"
238;"corazones"
239;"corazones en llamas"
240;"cordero"
241;"corneta"
242;"Cornetas de cuerno de carnero"
243;"Cornucopia"
244;"corona"
245;"corona de azucenas"
246;"corona de azucenas y herramientas de carpintería de San José"
247;"Corona de espinas"
248;"corona de flores"
249;"corona de José"
250;"corona de joyas de la Virgen María"
251;"corona de laurel"
252;"corona de Maria"
253;"corona de Maria y aureola de José"
254;"Corona de martirio"
255;"corona de plumas"
256;"corona de rayos de la Virgen"
257;"corona de rayos iluminados"
258;"corona de rey en el suelo"
259;"Corona de rosas"
260;"corona de rosas de María"
261;"corona de rosas en la cabeza y en la mano"
262;"Corona de rosas en la cabeza y en la mano La corona en la mano tiene adentro un niño jesús Crucifijo"
263;"corona de rosas rojas"
264;"Corona de rosas sobre la cabeza y en la mano"
265;"Corona de rosas sobre la cabeza y en la mano Nimbo de luz sobre la cabeza Niño Jesús"
266;"corona rosas"
267;"corona una mitra "
268;"corona y cruz"
269;"corona y mitra"
270;"coronas de María y José"
271;"coronas de Maria y San Jose"
272;"coronas y cetro"
273;"cortina"
274;"cortina roja"
275;"cosecha de trigo"
276;"cráneo"
277;"cráneo y coronas o mitas"
278;"Cráneo y manojo de paja"
279;"Cristo crucificado"
280;"Cristo en la cruz"
281;"cruces"
282;"Cruces de cementerio"
283;"crucifijo"
284;"cruz"
285;"cruz con cáliz y lanzas"
286;"cruz con espada y cetro"
287;"cruz con serpiente"
288;"cruz de caña"
289;"cruz de Jesús"
290;"cruz papal"
291;"cruz patriarcal"
292;"cruz que sistiene el angel"
293;"cruz roja del cielo"
294;"cruz y azucenas"
295;"Cruz y azucenas a los pies de Cristo"
296;"cuatro plumas "
297;"cuatro querubines en cada esquina que soplan hacia el centro rayos de luz hacia las letras VROP"
298;"cuchillo"
299;"cuenco y pan"
300;"Cuerda"
301;"cuerda al cuello y manos"
302;"cuerno de la abundancia"
303;"Cuerpo esquelético"
304;"cueva"
305;"cuna"
306;"cuna de paja"
307;"custodia"
308;"custodia con la sagrada forma"
309;"dados"
310;"daga en el pecho"
311;"demonios"
312;"desnudez"
313;"desnudez (niño Jesús)"
314;"diferentes colores de piel y vestidos"
315;"Diferentes habitos de sacerdotes"
316;"Diferentes tipos de nimbos"
317;"Dios y la Virgen"
318;"disciplina"
319;"domo"
320;"Donante (monja?)"
321;"dos cabezas de toro"
322;"dos rostros de perfil de un de ellos pende una bolsa"
323;"dragón"
324;"ecsaleras"
325;"edificacion"
326;"el aguila con el libro con 7 sellos "
327;"el esqueleto con una lanza que representa la muerte"
328;"Elefante"
329;"en triangulo y en aro Libro"
330;"escalera"
331;"escalera al cielo"
